gnd_id,PC1
2124420,-0.840685
5110025,-8.374263
4503015,-7.486779
4503090,-9.037342
4112110,-3.186876
4112120,-1.207001
4112190,0.429981
4112195,-1.603921
4112150,-3.039210
4112225,-6.099645
4112210,-0.539441
4112205,-3.080295
4112145,-5.562026
4112155,-3.886244
4112215,-1.726653
4124090,-9.352051
4124030,-10.806252
4503045,-6.205389
4506005,-6.105989
5327010,-7.027231
4415015,-8.109201
4409040,-4.570210
4409020,-3.831364
4409035,-3.831364
4409005,-6.753367
4409050,-5.996938
4415155,-2.737511
7210065,-3.938743
5315010,-3.561419
5327005,-6.005748
5327020,-5.110263
8124120,-0.864270
2121215,-4.027778
2121210,-1.518053
2121200,-1.440409
2121195,-2.318679
2121190,-2.260615
2121185,-0.011457
2121180,-0.410077
2121205,-2.060555
2121220,-2.496244
2121170,-0.781964
2121175,-0.559202
2121165,-1.614251
2121140,0.372932
2121160,-2.845560
2121145,3.094535
2121155,-1.636619
2121125,-1.326630
2121150,-1.286577
2121120,-1.949875
2121135,-1.438846
2121040,-4.706472
2121060,-1.559391
2121070,-1.417269
2121110,-2.054588
2121055,-3.199549
2121095,-4.370774
2121005,-11.004114
2121050,-10.384717
2121010,-6.811782
2121045,-6.241395
2121080,-1.803250
2121035,-2.460712
2121030,-1.995608
2121015,-2.126418
2121025,-1.111822
2121020,-2.371627
2121235,-4.307835
2121075,-2.399575
2121065,-2.150855
2121090,-2.267298
2121085,-2.398694
2121230,-2.427747
2121225,-2.673416
2139335,0.256425
2139500,-0.865533
2139520,1.328432
2139525,3.086571
2139475,3.361908
2139485,1.940770
2139465,2.238241
2139460,4.163200
2139380,3.422818
2139555,1.560839
2139425,2.951255
2139440,4.480441
2139390,4.758245
2139265,4.490982
2139275,2.470622
2139295,4.365335
2139290,8.210041
2139285,2.294714
2139120,2.166449
2139175,2.782986
2139110,2.019878
2139180,4.644522
2139260,0.926080
2139210,1.796225
2139195,0.880913
2139255,3.644567
2139320,0.443663
2139375,2.183640
2139370,-0.867676
2139105,4.094188
2139240,1.246976
2139245,-0.165152
2139235,3.641203
2139205,2.298539
2139200,0.468321
2139455,2.184626
2139470,3.020031
2139450,4.174143
2139585,1.669870
2139480,1.550029
2139145,10.400287
2139420,7.636125
2139410,6.109515
2139215,-0.527794
2139075,1.577380
2139080,1.700003
2139045,2.758467
2139085,0.432221
2139040,1.783904
2139035,4.290197
2139090,1.837794
2139010,5.341744
2139030,4.187193
2139005,2.690363
2139015,3.009457
2139025,2.771899
2139020,2.618493
2139115,1.584541
2139125,6.733001
2139135,6.527129
2139165,3.884657
2139160,5.414514
2139130,5.270709
2139140,3.996940
2139150,2.937270
2139100,1.957795
2139270,5.535435
2139170,2.441173
2139360,1.975237
2139365,2.393290
2139330,2.868995
2139325,0.513512
2139315,4.201686
2139385,3.801018
2139310,3.081242
2139305,3.610871
2139400,3.425107
2139280,1.852794
2139300,3.619714
2139515,2.255019
2139615,-0.002291
2139600,2.916928
2139605,0.335399
2139595,2.507233
2139530,2.868411
2139590,0.272272
2139535,2.123436
2139575,3.329235
2139570,5.491564
2139550,3.604672
2139435,5.145522
2139565,3.136196
2139560,4.923953
2139545,3.678131
2139355,0.988330
2139345,-0.258218
2139395,4.876773
2139405,5.523251
2139350,1.252884
2139095,3.157147
2139190,2.408385
2139185,1.222940
2139495,2.065679
2139490,0.287751
2139415,4.892526
2139540,2.740433
2139445,4.506896
2134150,-4.261404
2134130,-0.895629
2134195,0.810448
2134080,0.267081
2134090,-1.924377
2134190,0.923354
2134185,-0.547792
2134215,-0.645553
2134225,-0.703388
2134175,-0.946669
2134230,0.068728
2134240,-1.291062
2134085,-1.588190
2134170,0.430040
2134245,-2.391878
2134165,-0.847688
2134255,-0.284411
2134270,-0.472201
2134160,-0.028001
2134125,0.209888
2134120,0.626128
2134040,-1.799863
2134030,0.244921
2134015,-0.001684
2134025,0.472497
2134095,0.096253
2134100,1.991079
2134105,1.086109
2134050,1.565665
2134045,1.340510
2134115,-0.429229
2134110,-0.156630
2134010,-0.622151
2134285,-1.198531
2134275,-1.248846
2134280,-1.119850
2134155,-1.180434
2134180,-0.953938
2134260,-0.228728
2134250,-1.194729
2134035,-0.183802
2121100,-1.901270
2106335,1.554821
2106300,1.222580
2106235,1.134819
2106200,1.563437
2106055,1.158354
2106240,2.426041
2106165,2.580579
2106195,2.093655
2106190,1.608218
2106175,2.012398
2106170,2.181680
2106140,-0.790943
2106295,2.362987
2106090,3.495195
2106070,3.878142
2106160,1.270016
2106095,-0.074514
2106135,-0.205668
2106130,0.435811
2106185,2.793581
2106085,2.472618
2106155,-0.663686
2106205,3.289534
2106290,3.657140
2106150,-0.471335
2106245,2.156661
2106250,2.658738
2106145,-0.605947
2106270,1.911385
2106265,2.810042
2106305,2.446575
2106330,-1.026426
2106310,5.144825
2106320,4.796979
2106325,4.503770
2106315,1.406920
2106275,1.558450
2106280,0.915652
2106230,1.615485
2106225,3.246916
2106125,2.154558
2106255,2.636788
2106260,1.919986
2106180,2.492528
2106065,2.165631
2106035,1.946135
2106060,0.169012
2106045,2.086778
2106020,1.321542
2106040,2.137786
2103285,2.761010
2103290,3.975411
2103240,0.856738
2103325,1.160186
2103330,-1.515453
2103335,-0.169684
2103130,4.940553
2103120,5.386906
2103200,-0.144156
2103190,1.539305
2103195,0.470393
2103050,-0.368969
2103045,4.196554
2103090,-1.331064
2103235,-1.661323
2103105,2.466171
2103055,-2.672386
2103255,2.556024
2103260,0.741292
2103305,-0.137245
2103150,0.678840
2103155,-1.982261
2103145,-0.428466
2103165,-1.989279
2103040,0.569045
2103075,1.533337
2103135,3.121664
2103205,-2.150361
2103140,1.528564
2103170,-1.677851
2103180,-0.646853
2103175,-1.872000
2103245,1.681052
2103300,-1.728560
2103225,-2.524179
2103250,-0.939042
2109030,-2.181681
2109160,3.525625
2109140,-0.003642
2109110,6.721029
2109005,-0.092231
2109015,-0.334054
2109035,1.459734
2109060,3.911906
2154150,-1.260408
2154135,1.803394
2154105,-3.069172
2154095,-0.855823
2154110,1.373343
2154100,-1.329151
2154050,-1.278480
2154055,1.199457
2154060,-0.556278
2154010,-1.092160
2154115,0.676990
2154125,1.735990
2154140,-1.328471
2154145,0.019440
2154020,-0.109590
2154045,1.131596
2154120,0.840618
2154130,3.487646
2154040,5.646026
2118050,-3.778313
2118145,-5.311273
2118120,-1.440683
2118115,-4.157368
2118110,-3.724043
2118170,-0.602170
2118140,4.206802
2118290,-4.542062
2118225,-3.829702
2118175,-1.347471
2118280,-1.718599
2118150,1.054454
2118305,-7.980265
2118310,-1.819553
2118010,-7.878176
2118045,-3.845243
2118040,-3.457876
2118165,2.383140
2118160,-0.823700
2118200,-1.764519
2118155,-1.802734
2118235,-1.360666
2118285,-3.856105
2118300,-2.776855
2118190,-0.996637
2118195,0.192928
2118265,-4.481151
2118315,-3.633163
2118260,-3.600293
2118035,-2.493592
2118065,-1.504114
2118060,-1.511973
2118055,-4.662139
2118135,-0.579112
2118090,-5.032064
2118085,-1.871317
2118105,-2.050471
2118070,-1.913362
2118075,-1.996123
2118095,-4.394229
2118230,-1.207330
2118025,-5.403925
2151005,4.708119
2151235,-0.432811
2151105,1.423385
2151190,0.800148
2151140,1.920944
2151145,-1.959177
2151195,0.268572
2151150,-1.098111
2151185,-0.900064
2151205,-2.797051
2151160,-1.920683
2151155,-0.876862
2151175,-0.752330
2151170,-3.404471
2151200,-2.269291
2151240,-1.976103
2151215,1.658237
2151180,-1.878595
2151165,-3.154106
2151115,6.787614
2151010,1.961337
2151085,5.880679
2151060,8.296502
2151100,8.004922
2151095,6.472611
2151090,7.944347
2151065,4.673249
2151050,4.492646
2151055,3.287724
2151015,5.216959
2151040,2.151030
2151020,2.067582
2151045,2.368979
2151125,5.075654
2151135,6.598517
2151120,2.775156
2151070,1.285445
2148140,-3.377444
2148135,-0.107383
2148080,-1.759540
2148085,0.328142
2148060,0.403803
2148065,0.327794
2148070,4.406807
2148075,-0.738535
2148035,-1.070119
2148055,-2.596902
2148050,2.663014
2148130,0.130146
2148120,-0.872991
2148110,-1.547271
2148045,-3.371536
2148040,-4.942442
2148015,-1.347256
2148010,-1.801147
2148095,-1.281080
2148100,-1.529696
2148105,-1.683739
2148005,-2.292406
2148025,3.403012
2136265,3.709034
2136255,2.699458
2136270,4.000421
2136110,3.144925
2136245,2.387969
2136050,-0.659796
2136115,2.180933
2136285,3.172463
2136240,2.379507
2136290,5.018834
2136230,3.483180
2136235,1.761164
2136315,3.091001
2136310,3.011540
2136030,-0.314908
2136150,0.632280
2130305,1.735757
2130310,3.892846
2130300,6.577424
2130200,5.413761
2130205,8.210872
2130210,9.068672
2130165,7.259572
2130170,9.696516
2130160,4.783857
2130100,11.459759
2130175,12.454816
2130215,3.085545
2130235,6.093168
2130240,6.007851
2130255,4.528789
2151210,1.117629
2142160,-3.328460
2145220,-0.258826
2109065,-0.187352
2112010,0.251929
2112005,1.786638
2115045,-2.153560
2115055,-0.832408
2115005,-3.774493
2115010,-3.182373
2115020,-3.133473
5239105,-5.431106
5239100,-3.119506
5239010,1.608556
5239110,-1.233465
5239085,-1.424855
5239095,-0.684231
5239090,-0.144297
5215085,-3.163963
5215095,-2.161617
5215110,-1.892661
5215105,-2.105477
5215080,-2.808694
5215100,-2.926934
5215075,-3.921335
5215070,-2.486905
5218005,1.608463
5218210,-1.989052
5218140,-1.222920
5218150,-1.373292
5218175,-2.651890
5218165,-1.171505
5221045,0.565667
5221030,3.237670
5221040,4.182686
5221035,2.755814
5224040,3.119770
5224030,3.424678
5224025,4.234682
5224020,4.324619
2124350,1.743081
2124345,1.641475
2124170,-2.650284
2124415,-0.935421
2124365,1.477592
2103125,0.603508
2103115,3.810788
2103210,-0.680455
2103320,-0.468969
2103295,-1.336649
2103310,-1.606627
2103100,4.865049
2103215,0.718907
2103065,0.653963
2103070,2.456958
2109090,2.096931
2109095,4.962324
2103315,-0.536174
2134135,0.969595
2134140,0.797022
2136035,-1.523321
2136040,-0.046150
2134265,-0.130089
2136460,5.507664
2136370,5.715178
2136465,4.101248
2139060,2.947596
2139055,2.104901
2139050,1.855426
2139505,-4.118191
2136340,-2.336178
2151230,-2.520136
2103005,-1.852117
2103010,1.544530
2151080,0.696146
2151130,6.649849
2148145,-2.742241
2148125,-1.626421
2151075,3.568944
2154090,-3.024064
2154155,-2.051412
2154085,-2.912081
2154015,-0.602421
2154005,-1.150595
5248105,-3.365251
5248030,-3.331598
5248130,-1.366418
5248090,-1.575082
5248040,-2.381223
5248020,-2.668011
5248110,-2.986755
5248115,-2.270038
5248080,-1.313982
5248005,-5.461571
5242155,-4.336151
5242115,-2.373731
5242120,-2.853591
5242110,-3.617561
5242065,-3.848614
5242105,-2.925908
7160035,-2.474802
7160025,-0.582239
7160055,-1.376815
7160050,-2.911627
7160045,-1.214384
7160030,-2.447825
7160005,-1.565252
7121005,-0.798613
7121025,-2.021261
7121030,-1.957369
7121020,-1.134774
7121055,-2.489545
7121150,-5.869154
7118190,-2.042535
7118105,-3.617045
7118180,-2.531049
7118185,-4.434333
7118145,-0.998418
7118070,-1.886614
7130115,-1.733644
7130020,-0.260268
7130015,-0.517453
7130010,0.401405
7130005,-0.746649
7130025,-0.368738
7130075,-0.713833
5215065,-2.034486
5212150,0.141606
5212080,-0.252651
5212165,-0.391120
5212155,-0.207326
5212110,-0.337353
5212115,-0.567534
5212240,-0.494856
5212130,-1.367717
5212235,-0.797994
5212245,-0.622029
5212135,-1.621531
5212120,-1.428454
5212125,-1.418046
5212215,-2.883679
5212210,-1.587649
5212220,-1.815281
5212230,0.052128
5212175,-3.525033
7130050,2.181996
7130045,3.235769
7139035,-4.311519
7139020,-7.849837
7139015,-2.548508
7139025,-3.516390
7139080,-1.869188
7139075,-3.444288
7139065,-0.243157
7139030,-2.677320
7139060,-2.256790
7139090,1.996782
7139125,0.138066
8106045,-3.645933
8106210,-3.027755
8106115,-3.324283
8106120,-2.756909
8106130,-2.251735
8106125,-1.982214
8106170,-5.826942
8106185,-3.844579
8106200,-4.517397
8106175,-4.642732
8106195,-6.623875
8106180,-5.200403
8106190,-4.495687
8106030,-9.140533
8106050,-4.651680
5242025,-2.097422
5242135,-3.149416
2124325,1.775392
2124330,4.348753
2124315,0.356404
2124320,3.761690
2124370,1.369965
2124380,0.167937
2124470,-1.692500
2124435,-6.497530
2124440,-2.222081
2112140,3.384984
2112145,2.635454
2112245,2.321272
2112050,4.187934
2112035,1.424318
2136350,2.393152
2136470,3.251169
2139065,1.781319
2139070,1.822688
2139220,0.143433
2139225,0.765088
2139230,-0.554244
2139340,-1.764925
2139510,-3.772894
2151035,2.003996
2154065,-2.573608
2154070,-1.788079
2154075,-1.296781
2154080,-2.502674
2157035,-2.155759
5233040,-4.909319
5233035,-1.630742
5233030,1.137830
5233025,0.313109
5233020,-0.301367
5218130,-0.818285
5218245,-2.787683
5218255,-2.425064
5218205,-1.684791
5224015,3.346950
5224005,3.114338
5224010,2.322911
5221025,-0.587065
5221110,-0.966705
5221105,-0.292135
5221100,1.084308
7124145,-1.607814
7124105,-1.553739
7106120,-1.105445
7106125,-2.453455
7106100,-2.271440
7106090,1.226919
7106095,-2.427320
7106020,-3.028742
7106045,-4.249786
7106040,-2.650681
7148095,-0.508084
7136090,-2.062655
7148005,-2.724575
7148035,-1.345652
7124190,-2.149699
7127140,-1.753321
7127090,-1.977334
7157010,-4.726335
7157020,-4.105413
7157050,-3.096694
7157030,-1.954264
7157055,1.194789
7157070,-5.460467
7154240,0.151464
7154265,-0.905788
7154245,-0.812967
7154260,-0.656822
7166100,-4.114612
7166105,-3.072268
1230045,1.384770
1230060,1.184979
1230065,5.352024
1230070,4.242919
1230140,-1.238932
1230135,0.575353
1230040,1.931002
1230035,2.670364
1230030,0.813184
1230025,-0.274635
1230020,0.228958
1230120,0.211353
1230015,2.432145
1230075,2.474324
1230005,-0.978277
1230010,1.495913
1230340,1.702777
1230335,0.980705
2148030,-0.285232
2148020,-0.225385
2157005,2.012484
2157015,-0.286837
2157025,2.166382
2157110,-0.365166
2157130,-4.008656
2157135,-2.413274
2157115,-2.688845
2157050,3.131340
2157090,0.881401
2157045,0.048975
2157085,2.058831
2151110,5.605079
2118295,-2.858494
2124215,-1.013556
2124100,-0.971730
2124340,5.775653
2124335,6.719687
2124375,1.741859
2124290,-1.770664
2124015,-4.029962
2124160,-1.545840
2124260,-0.429806
2124220,2.844303
2124225,4.672689
2124230,1.867638
2124360,-0.033528
2124180,0.403910
2124465,-1.778514
2124460,-1.244780
2124400,-3.837910
2124130,0.166284
2124125,-1.848082
2124135,-0.929831
2124115,0.246182
2124120,-0.604378
2124050,-1.404428
2124055,0.308220
2124040,-2.676461
2124005,-4.157793
2124045,-1.676320
2124035,-1.299384
2124025,-3.670887
2124010,-4.667521
2124060,-1.536500
2124030,-2.309774
2124065,-1.043776
2124105,-2.196630
2124110,0.906016
2124205,1.026258
2124140,0.929936
2124210,0.345185
2124200,1.449980
2124235,3.165959
2124250,0.563596
2124255,-1.495957
2124145,0.352434
2124195,-0.748696
2124155,-0.065124
2124190,2.528510
2124185,0.854616
2124355,2.199448
2124455,-3.632949
2124425,-2.909103
2124430,-1.701856
2124265,0.484030
2124165,-2.752554
2124270,-1.322103
2124310,-1.690284
2124305,-1.579977
2124300,-1.781278
2124385,1.688191
2124390,1.362724
2124410,0.173010
2124405,-2.541749
2124395,-0.822967
2124285,-1.806958
2124280,-1.178403
2124295,-1.664179
2124275,-5.580104
2124450,-0.180158
2124445,-2.156000
2124175,-1.632322
2124085,-3.975747
2124070,-3.826265
2124095,-3.933410
2124075,-2.287097
2124020,-2.054311
2124090,-3.110926
2124080,-4.089664
2103060,0.797042
2103080,0.797691
2103085,-1.045637
2103265,3.291722
2103280,2.398434
2103275,3.102396
2103270,1.489491
2109025,2.667174
2109020,1.724673
2109155,1.369543
2109085,4.924956
2109130,5.376664
2109075,-0.047246
