chain,outlet,store_location
sathosa,Hanwella,POINT (80.0808438 6.908966299999999)
sathosa,Hapugala,POINT (80.19801269999999 6.0737364)
sathosa,Hapugasthalawa,POINT (80.53293409999999 7.0550783)
sathosa,Hataraliyadda,POINT (80.47126999999999 7.335979)
sathosa,Hatton,POINT (80.5945943 6.896944599999999)
sathosa,Hemmatagama,POINT (80.500646 7.174004)
sathosa,Henamulla,POINT (79.87367759999999 6.964462999999999)
sathosa,Hettipola,POINT (80.04494769999999 7.4770688)
sathosa,Hewaheta,POINT (80.63399969999999 7.110276199999999)
sathosa,Higurakgoda 01,POINT (80.9499988 8.040495200000001)
sathosa,Hikkaduwa (Relocated),POINT (80.0997543 6.1428866)
sathosa,Hingurana,POINT (81.6731874 7.2283513)
sathosa,Hiripitiya,POINT (80.3680469 7.6562681)
sathosa,Hokandara,POINT (79.9600454 6.880840699999999)
sathosa,Homagama,POINT (80.00362220000001 6.842588399999999)
sathosa,Horagasmankada,POINT (80.16894929999999 7.20075)
sathosa,Horana,POINT (80.066856 6.717923)
sathosa,Horowpathana,POINT (80.8324332 8.547710000000002)
sathosa,Hungama,POINT (80.9320415 6.109915399999999)
sathosa,Hunupitiya,POINT (79.90236233719298 6.98489052092035)
sathosa,Ibbagamuwa,POINT (80.44728110000001 7.543656800000001)
sathosa,Imaduwa (Relocated),POINT (80.3889011 6.0364476)
sathosa,Ingiriya,POINT (80.17491079999999 6.7448468)
sathosa,Ja-ela,POINT (79.89125211672614 7.084258141996649)
sathosa,Ja-ela Mega,POINT (79.8912558 7.082661400000001)
sathosa,Jaffna,POINT (80.01729979999999 9.6685283)
sathosa,Kabithigolawa,POINT (80.67468294267393 8.692980233471971)
sathosa,Kadawatha,POINT (79.9566293 7.039872)
sathosa,Kadugannawa,POINT (79.89808119999999 6.937292299999999)
sathosa,Kahatagasdigiliya,POINT (80.6853713 8.425251899999999)
sathosa,Kahawatta,POINT (80.54660560000001 6.6218476)
sathosa,Kalawana,POINT (80.39795459999999 6.5332211)
sathosa,Kalegana / Kahaduwawatte,POINT (80.2024653 6.0583619)
sathosa,Kalmunai,POINT (81.8318175 7.4019995)
sathosa,Kalpitiya,POINT (79.7647078 8.2357228)
sathosa,Kaluthara 2 (Kaluthara North),POINT (79.9599485 6.5823015)
sathosa,Kaluthara South,POINT (79.95996841275249 6.582367490723946)
sathosa,Kamburupitiya ,POINT (80.5644822 6.080657299999999)
sathosa,Kandana,POINT (79.89850010000001 7.036272200000001)
sathosa,Kandekatiya,POINT (81.0044137643013 7.170726474175686)
sathosa,Kandy - Galagedara,POINT (80.52411499999999 7.3728451)
sathosa,Kandy Mega,POINT (80.6370507 7.2970181)
sathosa,Kannanthota,POINT (80.27697280275302 7.093888384909337)
sathosa,Karapitiya,POINT (80.224289 6.065440799999999)
sathosa,Karawanella,POINT (80.2608951 7.0257217)
sathosa,Kataragama,POINT (81.33210583059753 6.415744693480647)
sathosa,Kattuwa,POINT (79.8484979 7.2363755)
sathosa,Katugastota,POINT (80.62594919999999 7.325811700000001)
sathosa,Katugastota Mega,POINT (80.62272159999999 7.322494899999999)
sathosa,Katunayake 01,POINT (79.8678669 7.167012600000001)
sathosa,Katuneriya,POINT (79.8453157 7.330301299999999)
sathosa,Katupotha,POINT (80.1872111 7.5322559)
sathosa,Katuwawala,POINT (79.909978 6.8308509)
sathosa,Kegalle,POINT (80.3373816 7.251487099999999)
sathosa,Kekanadura,POINT (80.60310299999999 5.9647824)
sathosa,Kekirawa,POINT (80.5982271 8.040165099999999)
sathosa,Kelaniya,POINT (79.91665669999999 6.9497187)
sathosa,Keppetipola,POINT (80.91251969999999 6.9047731)
sathosa,Kesbewa 02,POINT (79.95209819999999 6.7909361)
sathosa,Kilinochchi,POINT (80.40871829999999 9.390753699999999)
sathosa,Kinniya,POINT (81.16775269999999 8.481313)
sathosa,Kiribathgoda,POINT (79.9289143 6.979638899999999)
sathosa,Kiridiwela,POINT (80.13160019999999 7.0425239)
sathosa,Kiriella,POINT (80.2729734 6.738857899999999)
sathosa,Kirillawala,POINT (79.99170549999999 7.0374143)
sathosa,Kithulgala ,POINT (80.4086968 6.9990123)
sathosa,Kiwlawatte,POINT (80.00445189999999 6.5738869)
sathosa,Kochchikade,POINT (79.86078859999999 7.2667144)
sathosa,Kohuwala 2,POINT (79.88493870000001 6.866274499999999)
sathosa,Kolonna,POINT (80.6224526 6.6083669)
sathosa,Koralaima,POINT (79.89664259999999 6.7886061)
sathosa,Kosgama,POINT (80.1360462 6.940031299999999)
sathosa,Kosgashandiya,POINT (79.8453157 7.330301299999999)
sathosa,Koswatta (RDA),POINT (79.93597670973088 6.906180578369861)
sathosa,Kotadeniyawa,POINT (80.06602119999999 7.284221000000001)
sathosa,Kotagala,POINT (80.5987679 6.8906208)
sathosa,Kotahena,POINT (79.8620605 6.947798700000001)
sathosa,Kotapola,POINT (80.5447444 6.293849499999999)
sathosa,Kottawa 2,POINT (79.96536709999999 6.835837799999999)
sathosa,Kuliyapitiya,POINT (80.04494769999999 7.4770688)
sathosa,Kumarakanda (Relocated),POINT (80.1252822 6.1081099)
sathosa,Kumbukgate,POINT (80.42537141664742 7.681517373732426)
sathosa,Kundasale,POINT (80.67483519999999 7.279691199999998)
sathosa,KurudugahaHatapma,POINT (80.14103070208164 6.2841786258490515)
sathosa,Kurunduwatte,POINT (79.84454459999999 6.9336395)
sathosa,Kurunegala 2,POINT (80.365298 7.485228500000001)
sathosa,Kuruwita,POINT (80.36530049999999 6.7779604)
sathosa,Lunugala,POINT (81.2031403 7.042125299999999)
sathosa,Lunugamwehera,POINT (81.2098563 6.3359874)
sathosa,M.t Levinia 2,POINT (79.86880669999999 6.8283033)
sathosa,MC-cullum,POINT (79.85288539999999 6.9321714)
sathosa,Madagama,POINT (81.27530949999999 7.0349699)
sathosa,Madapatha ,POINT (79.9311738 6.7663973)
sathosa,Madapatha Express,POINT (79.92903333139587 6.769647458066261)
sathosa,Madawala BA,POINT (80.6733175 7.3294835)
sathosa,Madu,POINT (79.8782815 6.9141688)
sathosa,Madurankuli,POINT (79.82326569999999 7.910554)
sathosa,Maggona,POINT (79.9821987 6.5095915)
sathosa,Maharagama 1,POINT (79.92170489999999 6.842619699999999)
sathosa,Maharagama 2,POINT (79.9262188 6.8480232)
sathosa,Maho,POINT (80.27326409999999 7.8241442)
sathosa,Makandura ,POINT (80.0210189 7.329408600000001)
sathosa,Makola,POINT (79.95046289999999 6.9751359)
sathosa,Makumbura,POINT (79.9820603 6.8467538)
sathosa,Malabe,POINT (79.9556705 6.902715199999999)
sathosa,Maligawatta,POINT (79.87473200000001 6.9380045)
sathosa,Malimboda,POINT (80.5159822 6.010029299999999)
sathosa,Mallawapiptiya,POINT (80.3889187682182 7.474919395905526)
sathosa,Mancholai,POINT (80.7985341 9.228011799999999)
sathosa,Mannar,POINT (79.90979727113748 8.983659745932783)
sathosa,Maradhagamula,POINT (79.98668282039657 7.2308929050135005)
sathosa,Marassana,POINT (80.6370507 7.2970181)
sathosa,Maravila,POINT (79.83065909999999 7.413273200000001)
sathosa,Maspotha,POINT (80.3077251 7.546440499999999)
sathosa,Matale 01,POINT (80.62498479999999 7.4695337)
sathosa,Matale 02,POINT (80.6229852 7.475685899999999)
sathosa,Matara Mega,POINT (80.55682419999999 5.9467028)
sathosa,Matara-02,POINT (80.5364823 5.9486397)
sathosa,Mathugama 2,POINT (80.1181613 6.5223423)
sathosa,Mattegoda,POINT (79.970771 6.8180384)
sathosa,Mawanella ,POINT (80.44942619999999 7.2514739)
sathosa,Mawathagama,POINT (80.4466245 7.4322872)
sathosa,Medavachchiya,POINT (80.4967346 8.5335655)
sathosa,Medirigiriya,POINT (80.965187 8.141378399999999)
sathosa,Meegahakiwla,POINT (81.0535507 6.990723099999999)
sathosa,Meegoda 02,POINT (80.0573801 6.8553529)
sathosa,Meegoda 1,POINT (80.0447595 6.8443394)
sathosa,Meepe ,POINT (80.091814 6.85863)
sathosa,Meerigama,POINT (80.1278863 7.244709200000001)
sathosa,Melsiripura,POINT (80.5069642 7.6400231)
sathosa,Menikhinna,POINT (80.70200699999999 7.315238099999999)
sathosa,Middeniya,POINT (80.76138349999999 6.2511566)
sathosa,Minneriya,POINT (81.00385419999999 7.9409855)
sathosa,Minuwangoda,POINT (79.94690829999999 7.166931099999999)
sathosa,Mirihana 02,POINT (79.89842539999999 6.8748356)
sathosa,Molagoda ,POINT (80.3867432 7.254533800000001)
sathosa,Monaragala 2,POINT (81.34232919999999 6.8617044)
sathosa,Monaragala 3,POINT (81.3507977128899 6.873258732675223)
sathosa,Moranthuduwa,POINT (79.9718381 6.662700399999999)
sathosa,Moratumulla,POINT (79.89664259999999 6.7886061)
sathosa,Moratuwa,POINT (79.8819829 6.7777245)
sathosa,Morawaka,POINT (80.4910689 6.2616119)
sathosa,Nabada,POINT (80.091421 6.5958294)
sathosa,Nagoda,POINT (80.2746526509217 6.198012586243424)
sathosa,Nagoda - Galle,POINT (80.27492699999999 6.1984663)
sathosa,Naiwala,POINT (80.03141789999999 7.159049)
sathosa,Narahenpita,POINT (79.8782815 6.9141688)
sathosa,Narammala,POINT (80.2147064 7.4324531)
sathosa,Nawalapitiya,POINT (80.53293409999999 7.0550783)
sathosa,Negombo 02,POINT (79.8504614 7.206885700000001)
sathosa,Nelumkulam,POINT (80.45953949183163 8.762050361763393)
sathosa,Neluwa,POINT (80.36203709999999 6.377814)
sathosa,Nigris,POINT (79.84473512177816 6.936873980444315)
sathosa,Nikaweratiya,POINT (80.1147917 7.7518408)
sathosa,Nildandahinna,POINT (80.89305139999999 7.081567499999999)
sathosa,Nivithigala,POINT (80.54660560000001 6.6218476)
sathosa,Nochchiyagama,POINT (80.20639109999999 8.2620132)
sathosa,Nuwaraeliya,POINT (80.76570289999999 6.9735691)
sathosa,Oddamawadi,POINT (81.5280609 7.9116458)
sathosa,Opanayake,POINT (80.6224526 6.6083669)
sathosa,Pabahinna,POINT (80.78599009999999 6.7185516)
sathosa,Padaviya,POINT (80.76171239999999 8.834299999999999)
sathosa,Padukka,POINT (80.0915105 6.843324)
sathosa,Pahathgama,POINT (80.0808438 6.908966299999999)
sathosa,Pallebedda,POINT (80.855383 6.334296)
sathosa,Panadura-2,POINT (79.90761999999999 6.710908499999999)
sathosa,Panadura-3,POINT (79.9141475 6.6957451)
sathosa,Panadura-4,POINT (79.90761999999999 6.710908499999999)
sathosa,Panagoda,POINT (80.02356979999999 6.865304999999999)
sathosa,Pannala,POINT (80.0210189 7.329408600000001)
sathosa,Pannipitiya 2,POINT (79.96536709999999 6.835837799999999)
sathosa,Pannipitiya 3,POINT (79.96374052772714 6.844005414957063)
sathosa,Pansalgodella,POINT (81.0278288260062 8.084119627516603)
sathosa,Passara,POINT (81.15627139999999 6.935397200000001)
sathosa,Pasyala,POINT (80.12402640000001 7.1692014)
sathosa,Payagala,POINT (79.97876959999999 6.527771899999999)
sathosa,Pelmadulla,POINT (80.54660560000001 6.6218476)
sathosa,Pelmadulla -02,POINT (80.6529884 6.5041218)
sathosa,Pelwaththa,POINT (79.8992566 6.840627899999999)
sathosa,Peradeniya,POINT (80.5918702 7.2659648)
sathosa,Pesalai,POINT (79.82212249999999 9.0844898)
sathosa,Piduruwella,POINT (80.30360069999999 7.4670403)
sathosa,Pilimathalawa,POINT (80.5513129 7.267025400000001)
sathosa,Piliyandala 1,POINT (79.92965199999999 6.7977645)
sathosa,Piliyandala 2,POINT (79.943516 6.7859468)
sathosa,Pinkanda,POINT (80.13238699999999 6.128445600000001)
sathosa,Pinnaduwa,POINT (80.26864524994156 6.066337851514941)
sathosa,Pitabeddara,POINT (80.47592330000001 6.201065)
sathosa,Pitakotte,POINT (79.9020527 6.883400099999999)
sathosa,Pitipana,POINT (80.01858659999999 6.844322699999999)
sathosa,Poddala,POINT (80.2191303 6.106855599999999)
sathosa,Pohaddaramulla,POINT (79.92126349999999 6.9035185)
sathosa,Point pedro,POINT (80.23691839999999 9.821428299999999)
sathosa,Polgahawela 1,POINT (80.30428739999999 7.3296692)
sathosa,Polgahawela 2,POINT (80.3003282 7.3363087)
sathosa,Polgasowita,POINT (79.970771 6.8180384)
sathosa,Polonnaruwa 1,POINT (81.00385419999999 7.9409855)
sathosa,Polonnaruwa 2,POINT (81.00388875669319 7.9411705671923345)
sathosa,Polpithigama,POINT (80.40467219999999 7.815496100000001)
sathosa,Polwaga Colany,POINT (81.5677800435148 7.23108978845326)
sathosa,Poojapitiya,POINT (80.5863123 7.3796772)
sathosa,Pothuhera,POINT (80.3514886 7.4731815)
sathosa,Pothupitiya,POINT (80.5115586 6.4298598)
sathosa,Pothuvil,POINT (81.8298751 6.8751213)
sathosa,Pugoda,POINT (80.11701699999999 6.9742869)
sathosa,Pundaluoya,POINT (80.66682659999999 7.0141111)
sathosa,Pussellawa,POINT (80.63399969999999 7.110276199999999)
sathosa,Puttalam,POINT (79.83061529999999 8.029874599999999)
sathosa,Puwakpitiya,POINT (80.19384869999999 6.936697100000001)
sathosa,Raddolugama,POINT (79.9003994 7.1393038)
sathosa,Ragala,POINT (80.8594166 7.0117179)
sathosa,Ragama,POINT (79.9242002 7.027747799999999)
sathosa,Raigama,POINT (80.01585126921518 6.721658906891255)
sathosa,Rajgama,POINT (80.1382993 6.0937434)
sathosa,Rakwana,POINT (80.61148369999999 6.4735415)
sathosa,Rambewa,POINT (80.50736859999999 8.44402)
sathosa,Ranmuthugala,POINT (79.93036789999999 6.981827699999999)
sathosa,Ranna,POINT (80.87709409999999 6.0976641)
sathosa,Rathmalana 01,POINT (79.88217182600262 6.810612545170302)
sathosa,Rathmalana Mega,POINT (79.88216109999999 6.810442099999999)
sathosa,Rathnapura 01,POINT (80.40443619999999 6.678600599999999)
sathosa,Rathnapura 02,POINT (80.4025158 6.680523399999999)
sathosa,Rathnapura 03,POINT (80.3977823 6.6795202)
sathosa,Raththota,POINT (80.6738903 7.5166605)
sathosa,Rawathawatte,POINT (79.88884379999999 6.7877772)
sathosa,Rikillagaskada,POINT (80.7841337 7.143781600000001)
sathosa,Ruwanwella,POINT (80.254425 7.044128799999999)
sathosa,Salmaluyana,POINT (79.9508781 6.9221581)
sathosa,Sammanthurai,POINT (81.8051694 7.362576499999999)
sathosa,Seeduwa 01,POINT (79.878727 7.1212161)
sathosa,Seeduwa 02,POINT (79.880958597767 7.132990507383729)
sathosa,Sewanagala,POINT (80.855383 6.334296)
sathosa,Sewanapitiya,POINT (81.18323959999999 7.921798799999999)
sathosa,Siddamulla,POINT (79.9576756 6.8150559)
sathosa,Silawaththurai,POINT (79.95431371567345 8.747946239418173)
sathosa,Siyabalape,POINT (79.99542559999999 6.959562699999999)
sathosa,Siyamabalanduwa,POINT (81.5593032 6.9066472)
sathosa,Sooriyawewa,POINT (81.00220349999999 6.3111979)
sathosa,Tangalla,POINT (80.79322839999999 6.0277604)
sathosa,Thabuththegama 02,POINT (80.2972484 8.1567279)
sathosa,Thalawa,POINT (80.3513669 8.2357061)
sathosa,Thalawakale,POINT (80.6667461 6.9336565)
sathosa,Thalawathugoda,POINT (79.9359697 6.8751039)
sathosa,Thalduwa,POINT (80.2214572 6.956809199999999)
sathosa,Thalgaswala,POINT (80.2692749 6.2441816)
sathosa,Thambuthegama,POINT (80.2972484 8.1567279)
sathosa,Thanamalwila,POINT (81.13095539999999 6.434316)
sathosa,Thawalama,POINT (80.33706359999999 6.3388656)
sathosa,Thelijjawila,POINT (80.495803 6.0245624)
sathosa,Thelwatta,POINT (80.0997543 6.1428866)
sathosa,Thennekumbura,POINT (80.6618234 7.2832756)
sathosa,Thihagoda,POINT (80.5364823 5.9486397)
sathosa,Thirukkovil,POINT (81.8525085 7.1157908)
sathosa,Thunkama ,POINT (80.39076539999999 6.6994836)
sathosa,Trincomalee,POINT (81.230869 8.5809771)
sathosa,Udawalawa,POINT (80.7951552 6.411820199999999)
sathosa,Udugama,POINT (80.3355289 6.2023681)
sathosa,Uduwana,POINT (80.0028136 6.8269521)
sathosa,Uhana,POINT (81.63887889999999 7.3615022)
sathosa,Uragasmanhandiya,POINT (80.08250959999999 6.3431783)
sathosa,Urala,POINT (80.2735407 6.151093599999999)
sathosa,Urapola 01,POINT (80.1465115 7.0962555)
sathosa,Urapola 02,POINT (80.14517619999999 7.0972665)
sathosa,Urubokka,POINT (80.63488889999999 6.303256699999999)
sathosa,Varipathanchenai,POINT (81.70766999999999 7.252097300000001)
sathosa,Vavuniya,POINT (80.4595166 8.761890899999999)
sathosa,Veyangoda 02,POINT (80.05965929999999 7.1537033)
sathosa,Vilachchiya,POINT (80.20034845373151 8.491825141792571)
sathosa,Wadduwa,POINT (79.9289757 6.667815099999999)
sathosa,Waga,POINT (80.1282119 6.9007442)
sathosa,Walana,POINT (79.90472079999999 6.7311339)
sathosa,Walapane,POINT (80.8613893 7.0944068)
sathosa,Walasmulla,POINT (80.6978135 6.1532007)
sathosa,Warakapola ,POINT (80.199574 7.225561000000001)
sathosa,Wariyapola,POINT (79.8453157 7.330301299999999)
sathosa,Wathupitiwala,POINT (80.1087869 7.12784)
sathosa,Wealioya,POINT (80.78624436139823 8.963235907535969)
sathosa,Weeraketiya,POINT (80.6978135 6.1532007)
sathosa,Wehera,POINT (80.3514886 7.4731815)
sathosa,Weligalla,POINT (80.59764939999999 7.218399100000001)
sathosa,Weligama,POINT (80.43013379999999 5.9752988)
sathosa,Welikanda,POINT (81.2481827 7.947898599999999)
sathosa,Welimada,POINT (80.91251969999999 6.9047731)
sathosa,Welipillewa,POINT (80.0297389 6.884842099999999)
sathosa,Welisara Mega,POINT (79.8979645 7.0282339)
sathosa,Weliweriya,POINT (80.02855869999999 7.0321416)
sathosa,Wellampitiya,POINT (79.89808119999999 6.937292299999999)
sathosa,Wellawa,POINT (80.3659057 7.559992299999999)
sathosa,Wellawaya 03,POINT (81.1027374 6.7296748)
sathosa,Wellawaya New,POINT (81.1027374 6.7296748)
sathosa,Yakkala 01,POINT (80.0321591 7.0869741)
sathosa,Yakkala 02,POINT (80.0321591 7.0869741)
sathosa,Yanthampalawa,POINT (80.34711829999999 7.501708499999999)
sathosa,Yatiyana,POINT (80.60056849999999 6.0234437)
sathosa,Yatiyanthota,POINT (80.2608951 7.0257217)
sathosa,kaduwela,POINT (79.983493 6.937024)
sathosa,katuwana ,POINT (80.6955899 6.2669166)
sathosa,kesbewa 01,POINT (79.943516 6.7859468)
sathosa,kiriwaththuduwa,POINT (79.8782815 6.9141688)
sathosa,manampitiya,POINT (81.12612639999999 7.9054431)
sathosa,nawagamuwa,POINT (80.0171687 6.9248542)
