mobile_money_id,pop_count,dist_mean
1,6846.371437400001,5672.609273696957
2,13178.7536085,5080.999207204389
3,26663.39863263,3553.2239149607058
4,23953.95257259,8326.111752735862
5,9382.65740749,2825.1975279706066
6,9480.640923119998,7755.852160934932
7,12300.23880305,2570.801591517299
8,6025.50644599,943.9587509676701
9,15484.900686690002,3500.2490731029966
10,18454.28047334,416.4741322207015
11,11094.41722827,1347.00633275047
12,7977.84403472,1281.3870011184304
13,3749.9554752999998,702.0373920659018
14,10893.18503461,4281.194273140878
15,22773.377793239997,4164.070617806471
16,27991.56322001,3424.6923879446417
17,31007.642694219998,1964.0357130045295
18,53827.788520960006,3832.425754748515
19,9492.841614739998,8500.433552200633
20,11224.352589850001,2880.883793523924
21,19498.46883975,3440.957835835378
22,18206.33452897,2263.0585172248057
23,7573.133581079998,959.1828378731478
24,4337.721449500001,330.65581017917884
25,7970.298927509999,482.3479416358089
26,16193.499495940003,6466.487704056871
27,27543.563934320002,3213.994595324227
28,13442.270466709997,3061.006069115868
29,16053.96642866,7401.620835354004
30,8061.50856421,10397.624221949834
31,24924.16895656,3714.013857079813
32,13105.98746796,6003.572314091492
33,670.0820525099999,342.4065884954897
34,27951.922631379995,3665.044501674711
35,13648.133160230002,954.9376612002437
36,9984.22924315,1279.063264531095
37,2761.84888796,281.6121183598189
38,12157.255806189998,308.845241288794
39,30485.89289056,2010.240831431791
40,15280.796855779998,3123.569472567322
41,17168.37878457,1260.0389142700417
42,13616.701449519998,1464.3132974044802
43,33989.70836521,1547.7685784385296
44,14333.860517269999,1157.8070967352724
45,14020.981562019999,1629.9045696244555
46,22604.22506128,2177.9844879730126
47,9845.166594620001,1445.4402326665452
48,3746.6369520099997,1147.7542659659202
49,12496.467639949999,1973.3450654910941
50,10272.63659505,1634.3475573974576
51,8501.756915890002,1678.7386530479919
52,13817.07286199,1698.9960745307044
53,10505.99883945,1919.9282858921388
54,9948.13805084,1857.618641336763
55,9616.452527650003,751.9064098039515
56,9970.15675987,3459.96670351465
57,4038.3390388299995,1440.0035323824388
58,4218.501476089999,302.88236656306026
59,7850.004573169999,1812.885662867111
60,34250.67283321,2111.2719749294242
61,30357.357662050003,1417.2504180169976
62,33118.88188619,1250.0391109998693
63,23814.95251952,2287.003151645651
64,31237.132800009997,2306.4016243956476
65,26701.69916731,2106.318799782532
66,21300.71563572,1009.1312524472831
67,40566.36005062,4566.520986794567
68,15393.111796279998,4557.6413765354355
69,4216.48875701,2934.230644144894
70,3459.53428345,2358.327806391607
71,11845.59199057,5152.564014829642
72,9869.984619449999,4294.6387281968255
73,14781.85584716,6067.487707296642
74,6676.02208063,3115.3660614306427
75,15062.576303139998,5380.619386913154
76,9528.70939998,5021.193650932956
77,1183.31952417,1952.8594523706054
78,13878.23101292,4849.376121822253
79,30272.459507710002,5230.992284853682
80,6760.44965264,3001.8610176573197
81,12475.023244220001,3083.2282250282374
82,11484.594865129999,5974.497680533348
83,7333.4470273199995,4675.241130766211
84,5008.57531378,1977.5657629179323
85,4224.03143331,5441.790481286364
86,5207.930444549999,2507.078180596158
87,12741.75744948,2917.7120874859897
88,7941.256679479999,2261.598944663753
89,18398.953663649998,4234.003742146101
90,17158.51807845,6520.292128918507
91,14479.31796844,2775.8112897268084
92,1720.8402142700006,703.7086733044242
