potential_id,pop_count,dist_mean
1,4930.313801110001,5424.945025614215
2,12604.81974383,4662.649275437279
3,8900.81430979,2926.057131857437
4,635.3369588100002,1074.3009926451086
5,3679.3553240499996,2729.1005989426176
6,7992.02196802,6128.507223309703
7,4491.20882899,2228.2513692707007
8,5438.21216255,1009.9440632625622
9,2140.0223255,687.6159620654678
10,18099.949757309998,405.689012973089
11,8832.44110887,1228.4297624517249
12,4096.86794348,718.5658033930616
13,3736.8646165,698.5447177257249
14,7627.141467990001,3910.973800003232
15,14580.023120349999,2307.8052075282485
16,11011.813004660002,2200.272724543658
17,5017.787664840001,624.9933880761693
18,35805.32786782,2107.220770361736
19,1206.36744778,3463.7714539335184
20,7122.19188126,1629.0530354694026
21,17924.76651003,2753.5506418656037
22,16676.016224169998,1832.5973876103847
23,6643.02670991,877.630364417472
24,1675.4695815699997,288.0862715535058
25,6782.956210460001,437.1713821380465
26,5937.154088810001,2703.3650949252574
27,26029.796923219998,2069.2104245114
28,10645.946074339998,2150.1814987080447
29,10328.69719646,5431.326752152293
30,7109.88396785,10958.11680999739
31,12138.36275215,2881.736416370312
32,8368.96515136,1182.490383928831
33,642.99578556,351.90337131507516
34,8865.97513273,1998.294105991717
35,12854.051827779998,774.6610808042152
36,9645.571691189998,1261.217204868772
37,1068.78950802,204.30636839636935
38,4975.88145842,230.30995985863194
39,1790.8668653999996,193.97435356044403
40,3348.4992598899994,1284.366683579244
41,10477.424937009999,1093.4096862822357
42,2326.48516685,559.0108441282993
43,14985.49938775,997.7952795237932
44,13980.720486279999,1139.897342700075
45,108.24638719999999,95.46499251976209
46,13727.84093484,1657.7410341727464
47,9237.56547079,1371.8560134889053
48,3740.61049354,1151.3949732874019
49,637.6282048099997,809.3941527742949
50,8706.466000280001,1488.124914145183
51,7997.874311630001,1565.2139763682837
52,11143.871149179999,1574.0404676751168
53,6267.1697454000005,1548.0355066841867
54,9460.6860804,1782.5071925415432
55,5038.14754731,508.1312063529783
56,3042.0973770200007,2575.8418683093673
57,3873.7399067199995,1366.1793877927294
58,4126.28615419,294.9766068298819
59,6501.75416769,1646.1345091891158
60,23282.70094212,1787.4230163820018
61,4519.06571456,444.19345833395903
62,13774.497605149998,795.938799344826
63,10368.59913049,1420.7769731110536
64,15405.82875318,1464.6847339089104
65,20278.02201828,1622.9627398402024
66,20377.272774520003,984.9905136937462
67,17323.11697951,4106.758617802262
68,11913.368971349999,3892.8569770533168
69,3363.8648375800003,2540.026002620755
70,1025.86732475,1375.604421454391
71,10552.76119315,5281.955742633882
72,9859.6737273,4291.828021196185
73,945.4358638599997,892.277646045281
74,6313.27058713,2935.2277003739096
75,8824.25345811,2955.3676872754304
76,2536.5330615,1757.3313679001474
77,1160.0949029100002,1936.9275196502529
78,13596.85335611,4797.802613585295
79,13972.125347000001,3578.292444977473
80,3392.5820823100003,1466.6330941514939
81,8706.66113061,2232.7617024634233
82,10573.38011312,5497.793864971646
83,7333.4470273199995,4675.241130766211
84,2008.0087725799997,2516.461264137809
85,4131.0956495400005,5342.137389582229
86,5089.493194229999,2155.953765813079
87,10552.26420642,2632.960899396225
88,7621.39424872,2175.490972766138
89,9547.851899629999,4004.828002900576
90,10240.512606889999,5889.582520392261
91,13147.347080309999,2906.989515754821
92,293.27860602,98.5554426913792
93,6584.3871792,414.40864362173903
94,11024.45796457,1139.3680375578135
95,8472.150511779997,565.3259231300378
96,2533.0036834,2024.8460413613527
97,3641.2166075800005,1162.5628133846722
98,923.8351438099999,306.2075697311886
99,32107.86640653,6954.420865748977
100,8511.495108109999,2479.6815801425196
101,5686.24488909,5731.337774287874
102,3547.6236146500005,3521.0787587719133
103,10883.16821521,2313.765417020329
104,1952.1007178199998,530.8646084391877
105,4021.2158579999996,2760.3820322060774
106,135.86633100000003,327.5349963331696
107,9299.86293254,3313.7658986056426
108,16987.02049208,4832.4903772476155
109,865.2653313799997,620.889480067405
110,9979.46724587,4280.423822208933
