id,name,lat,lon
146,eZ Cash Communication,8.548005,80.483222
147,eZ Cash Communication,8.172623,80.216932
148,eZ Cash Communication,8.552928,80.486269
149,eZ Cash Communication,8.438923,80.50571
150,eZ Cash Communication,8.299362,80.413442
151,eZ Cash Communication,8.357663,80.511246
152,eZ Cash Communication,8.058125,80.586519
153,eZ Cash Communication,8.086168,80.626688
154,eZ Cash Communication,8.272608,80.500603
155,eZ Cash Communication,8.289977,80.713806
156,eZ Cash Communication,8.139446,80.634499
157,eZ Cash Communication,8.385431,80.429535
158,eZ Cash Communication,8.209621,80.10797
159,eZ Cash Communication,9.608874,79.771557
160,eZ Cash Communication,9.717094,80.049906
161,eZ Cash Communication,9.67183,80.043125
162,eZ Cash Communication,9.730038,80.022612
163,eZ Cash Communication,9.744334,80.039434
164,eZ Cash Communication,9.769034,80.007591
165,eZ Cash Communication,9.696874,80.014801
166,eZ Cash Communication,9.742219,79.98682
167,eZ Cash Communication,9.698736,80.034199
168,eZ Cash Communication,9.712272,80.034714
169,eZ Cash Communication,9.71371,80.020208
170,eZ Cash Communication,9.78316,80.169468
171,eZ Cash Communication,9.788742,80.200367
172,eZ Cash Communication,9.806334,80.167236
173,eZ Cash Communication,9.793479,80.150585
174,eZ Cash Communication,9.808533,80.227833
175,eZ Cash Communication,9.784005,80.216503
176,eZ Cash Communication,9.787981,80.19393
177,eZ Cash Communication,9.825956,80.234184
178,eZ Cash Communication,9.832214,80.215302
179,eZ Cash Communication,9.781637,80.209079
180,eZ Cash Communication,9.663369,80.136337
181,eZ Cash Communication,9.805235,80.227489
182,eZ Cash Communication,9.796523,80.219851
183,eZ Cash Communication,9.790603,80.217104
184,eZ Cash Communication,9.782483,80.225945
185,eZ Cash Communication,9.816653,80.253754
186,eZ Cash Communication,9.748648,80.188866
187,eZ Cash Communication,9.717517,80.177193
188,eZ Cash Communication,9.798722,80.199509
189,eZ Cash Communication,9.807011,80.215988
190,eZ Cash Communication,9.395464,80.408249
191,eZ Cash Communication,9.387673,80.409193
192,eZ Cash Communication,9.383609,80.408163
193,eZ Cash Communication,9.129682,80.446959
194,eZ Cash Communication,9.108199,80.371513
195,eZ Cash Communication,9.153324,80.650291
196,eZ Cash Communication,9.269078,80.814013
197,eZ Cash Communication,9.237332,80.790024
198,eZ Cash Communication,9.228352,80.800323
199,eZ Cash Communication,9.217338,80.762215
200,eZ Cash Communication,9.255969,80.812683
201,eZ Cash Communication,9.127902,80.402369
202,eZ Cash Communication,9.332372,80.101919
203,eZ Cash Communication,9.316619,80.25959
204,eZ Cash Communication,9.233011,80.134277
205,eZ Cash Communication,9.130572,80.313148
206,eZ Cash Communication,9.505466,80.213885
207,eZ Cash Communication,9.503667,80.212791
208,eZ Cash Communication,9.386742,80.546865
209,eZ Cash Communication,9.375564,80.557594
210,eZ Cash Communication,9.432467,80.411682
211,eZ Cash Communication,9.453126,80.407219
212,eZ Cash Communication,9.608197,80.331259
213,eZ Cash Communication,9.404355,80.48172
214,eZ Cash Communication,8.451997,81.274109
215,eZ Cash Communication,9.091249,79.733276
216,eZ Cash Communication,8.985462,79.914551
217,eZ Cash Communication,8.909493,79.959869
218,eZ Cash Communication,8.888464,79.996262
219,eZ Cash Communication,8.872521,79.938583
220,eZ Cash Communication,8.9936,79.866829
221,eZ Cash Communication,9.079722,79.839706
222,eZ Cash Communication,8.847079,80.222168
223,eZ Cash Communication,8.779225,80.098572
224,eZ Cash Communication,8.733077,80.180969
225,eZ Cash Communication,8.822653,80.040894
226,eZ Cash Communication,9.066839,79.782715
227,eZ Cash Communication,8.771082,80.032654
228,eZ Cash Communication,8.762938,80.246887
229,eZ Cash Communication,8.746651,80.488586
230,eZ Cash Communication,8.725612,80.446701
231,eZ Cash Communication,8.753437,80.505409
232,eZ Cash Communication,8.726969,80.514679
233,eZ Cash Communication,8.760563,80.447731
234,eZ Cash Communication,8.756491,80.487041
235,eZ Cash Communication,8.777529,80.485668
236,eZ Cash Communication,8.754286,80.501289
237,eZ Cash Communication,8.788386,80.487385
238,eZ Cash Communication,8.741731,80.472965
239,eZ Cash Communication,8.751401,80.498543
240,eZ Cash Communication,8.700839,80.525665
241,eZ Cash Communication,8.770064,80.521545
242,eZ Cash Communication,8.811797,81.101074
243,eZ Cash Communication,8.583737,81.230164
244,eZ Cash Communication,8.579663,81.190338
245,eZ Cash Communication,8.633976,81.202698
246,eZ Cash Communication,8.549788,81.187592
247,eZ Cash Communication,8.511761,81.193085
248,eZ Cash Communication,8.557936,81.146393
249,eZ Cash Communication,8.465581,81.208191
250,eZ Cash Communication,8.40547,81.030693
251,eZ Cash Communication,8.444526,81.074982
252,eZ Cash Communication,8.565405,81.076355
253,eZ Cash Communication,8.48188,81.162872
254,eZ Cash Communication,8.610894,81.175919
255,eZ Cash Communication,8.522626,81.109314
256,eZ Cash Communication,8.561331,81.238403
257,eZ Cash Communication,8.712716,81.180725
258,eZ Cash Communication,8.760224,81.144333
259,eZ Cash Communication,8.629224,81.110001
260,eZ Cash Communication,8.796868,81.118927
261,eZ Cash Communication,8.35622,81.010437
262,eZ Cash Communication,8.35622,81.042709
263,eZ Cash Communication,8.34569,81.062965
264,eZ Cash Communication,8.426527,81.104507
265,eZ Cash Communication,8.326327,80.980911
266,eZ Cash Communication,8.344331,81.01284
267,eZ Cash Communication,7.362126,80.639133
268,eZ Cash Communication,7.376938,80.590553
269,eZ Cash Communication,7.257498,80.521846
270,eZ Cash Communication,7.292873,80.647502
271,eZ Cash Communication,7.257008,80.519464
272,eZ Cash Communication,7.334205,80.60832
273,eZ Cash Communication,7.613125,80.632739
274,eZ Cash Communication,7.322287,80.601196
275,eZ Cash Communication,7.327863,80.674453
276,eZ Cash Communication,7.305942,80.767708
277,eZ Cash Communication,7.078321,80.64806
278,eZ Cash Communication,7.21271,80.755134
279,eZ Cash Communication,7.265501,80.554504
280,eZ Cash Communication,7.298535,80.568881
281,eZ Cash Communication,7.365702,80.619907
282,eZ Cash Communication,7.188867,80.59124
283,eZ Cash Communication,7.271035,80.661664
284,eZ Cash Communication,7.236467,80.602612
285,eZ Cash Communication,7.295129,80.605402
286,eZ Cash Communication,7.327991,80.587142
287,eZ Cash Communication,7.418985,80.5618
288,eZ Cash Communication,7.350507,80.682178
289,eZ Cash Communication,7.166343,80.699558
290,eZ Cash Communication,7.152376,80.565619
291,eZ Cash Communication,7.227612,80.578752
292,eZ Cash Communication,7.268183,80.575876
293,eZ Cash Communication,7.252985,80.690632
294,eZ Cash Communication,7.315178,80.70106
295,eZ Cash Communication,7.281167,80.670376
296,eZ Cash Communication,7.216627,80.66823
297,eZ Cash Communication,7.199341,80.549827
