supermarket_id,pop_count,dist_mean
1,19215.97638737,993.982810102549
2,5200.0794547199985,1702.3590891274323
3,3885.400213079999,2044.5520679971448
4,44851.6154864,2513.4918775828573
5,26801.2999939,1548.582696074227
6,23563.00313446,1319.2458786710645
7,7936.39462397,1017.4758052232692
8,3930.16108479,491.87583993853093
9,6745.34110836,804.9214103347293
10,12977.877850269999,1479.5438068814397
11,15479.364300380003,3549.126142613092
12,8226.80977347,1594.481701334376
13,7632.92074338,852.6097213029432
14,15740.54413793,1834.438719862633
15,23312.16414875,1792.577517234654
16,38953.81127501,5974.235412233034
17,15947.637981970001,1563.6578637951409
18,30475.014384629998,3147.132662401933
19,3117.0477170900003,324.4495822720469
20,2806.8834803500004,522.0187635471016
21,4247.31963125,312.8488304172092
22,58615.90383795,5654.814430444681
23,9513.638849070001,1726.915918478062
24,9628.4588736,670.8639630773285
25,9397.967255029997,285.0604144053927
26,11331.9910876,557.2751189699459
27,18522.45408651,1303.7901211504995
28,13746.811453620001,966.0593376415866
29,33888.94766626,2589.571140897901
30,9796.17880644,3487.201259527441
31,46385.19644802,7284.701489284731
32,12776.49299253,744.5065525506807
33,12093.735385329997,5972.0791686965
34,18400.58870117,2703.4205108110887
35,7604.3224861399995,614.1742424864015
36,15534.721408469999,1262.7448231248381
37,10851.031962519999,1305.8468622997034
38,15181.13705293,1537.0475157930393
39,9611.38543376,714.9208399416451
40,4991.222277269999,518.5640909578359
41,9794.261936480001,2042.0483738652174
42,11462.491081230002,1345.1214112046116
43,2325.6275331499996,519.9974959782351
44,9808.06793954,612.5804233951847
45,10130.562094539999,432.7569525884135
46,38710.78381942,3736.5934767979115
47,12041.432377530002,1765.390393806949
48,59290.13525803999,4425.544275854502
49,1386.20249188,318.3849776055556
50,20080.545354449998,399.4119689520174
51,24487.76647188,6785.585225713579
52,26165.26605407,2624.592607597737
53,15138.17389991,3658.4707765947946
54,5003.793535909999,374.12250304827825
55,9227.499340680002,335.4219781346669
56,2009.9250662599998,308.2055601917649
57,8071.71943516,465.53026901338154
58,4051.71595652,1416.3727640677791
59,5547.54812532,985.8525790100106
60,2045.7091336000003,322.40351392312454
61,8025.10090288,659.5095214675347
62,3912.0371251899996,592.6170505967902
63,10343.430078500001,337.25218794447346
64,3798.8773024499983,305.3658191974453
65,13948.8228732,967.7331223314368
66,5727.53995862,435.2386082162556
67,6448.6972456799995,630.6119607215468
68,2794.967044699999,346.7471933711982
69,7192.062608099998,732.9291183423769
70,12379.91393683,973.5340583859742
71,6128.058810459999,433.3833176049244
72,1072.08172674,312.2422505369171
73,1470.0921919599998,530.1350733832295
74,6480.32320798,1070.1971350249441
75,9991.97796657,630.044714866788
76,23078.34454064,1333.816885929918
77,23262.87398484,1293.106572797684
78,15307.81743087,842.1091993584879
79,4067.2056236400003,529.5176471772875
