samurdhi_id,pop_count,dist_mean
1,16925.84881886,2309.6210644596504
2,9126.55297084,2070.9133662224667
3,14768.81054839,2656.498678990417
4,7280.895521230001,2580.4846390932807
5,21784.462050460003,3403.086549499406
6,21161.49847578,2570.807734757503
7,16666.60071788,3625.4975763978664
8,18324.6709717,1673.9254111314203
9,31800.95867324,2966.737768548672
10,7705.27334032,2008.5287874830576
11,24606.70282415,2976.5629841560744
12,32311.206870429996,3080.9438576237735
13,89725.24528294,5822.058215150393
14,12047.18838101,3532.7250129196977
15,15382.92255481,1872.8654085572398
16,35909.61494165,3397.2129895257276
17,49646.98114699,20627.69657054666
18,33034.6371663,4380.345083278921
19,7310.17406757,2901.323106332441
20,5065.99786353,1687.4405750657097
21,46934.87660063001,2335.199265454515
22,43930.78079541,5390.135740938541
23,20446.52141744,2540.6867006593448
24,52619.49007368,3447.158090068237
25,21493.66565967,3659.5084810221065
26,6826.800197930001,1478.9911921684693
27,10741.30405067,3986.0380756025825
28,8427.6523357,13678.336016685107
29,31716.72683126,6677.332383250301
30,54065.49565279001,3948.1871110749107
31,7600.66042389,1347.3869436137127
32,30630.873225740004,3195.037570569351
33,13396.953619050002,2613.913810152582
34,13714.212241240002,3415.269601663186
35,14186.1415331,1790.692478952054
36,27755.61423386,2293.229817873824
37,6820.616042,1235.9562975282627
38,7632.123768,1749.8468937189514
39,24545.890644729996,1599.663570187141
40,27772.41975339,3583.056522608834
41,30453.458393729998,5371.5570544544535
42,22031.06379684,2327.345835149965
43,5334.7965789400005,1671.3709734544677
44,11583.132283840001,2057.1748632495633
45,11609.11507491,1717.1763643921697
46,15610.20692871,1363.818816598351
47,39666.43132735,2425.954730417712
48,15290.695278979998,1661.2676941006364
49,4128.245226679999,1805.9800975270746
50,10187.4390156,1876.7004120799913
51,18060.344480549997,3382.7483799119354
52,16990.082566159996,2460.8999837066413
53,13722.399401089999,2210.7751494595022
54,7349.461492889999,2054.185406098062
55,9393.40534055,2858.26505714712
56,30172.615965080004,4915.2015249472315
57,17356.2250028,6489.868559911469
58,12242.207648309999,5432.659320856474
59,15769.845529110002,6896.209213515422
60,42325.668768200005,3079.9352622720876
61,19610.108406779997,2354.6489129441693
62,20470.79693499,5004.778160142277
63,5889.034442190001,3765.123479867509
64,8834.92774948,5090.246114899013
65,20838.99610721,6076.482434890418
66,46390.19187861,4921.752393071489
67,17004.562777400002,1536.3044931797797
68,6756.083380110001,1437.722846183707
69,22815.51679535,1684.2296953583304
70,23373.76314213,3425.494431911477
71,28714.63525924,3951.548421566037
72,26388.149980920003,4052.934613609153
73,6118.35593276,3662.1606901939126
74,10301.35928744,3589.694403536934
75,13885.38670151,4300.5957352945725
76,12898.50178965,5934.708092609856
77,102962.39767258,26111.16799677686
78,55206.66099227,3937.891662547773
79,13533.999900530001,3139.3253956357694
80,37268.28298701,5465.575453367627
81,8134.59433795,2063.2690924309936
82,23327.74623719,6836.711374001108
